Zeit,Teilnehmer,What is your experience?,What is your gender?,Do you feel represented in the community?,"How do you feel, how could the community improve?",Where are you from?,How old are you?,What is your / your families income?,Do you have a special brain?,Why did you start using Linux?,What do you use your PC for?,Do you contribute to the linux ecosystem?,Do you use multiple Linux systems?,Do you use other Operating Systems?,Why do you use other Operating Systems?,Multiple Linux Systems just for testing or daily driving?,What are the most important benefits of Linux Distributions?,Does your hardware meet Windows 11 requirements?,Do you use disk encryption?,Why do you use disk encryption?,Where does the distro you use originate from?,What origin was your FIRST distro from?,Why did you switch from NixOS?,Why did you switch from OpenSUSE?,Why did you switch from Arch?,Why did you switch from Fedora?,Why did you switch from Debian?,Why did you switch from Ubuntu?,Do you use a smaller Distribution?,Why do you use that distribution?,Do you modify your install in these areas?,What kind of device do you use?,"Does your device have official Linux support / come from a ""Linux hardware company""?",Does your device support Linux without issues anyways?,Is the Firmware / BIOS / UEFI on your PC open source?,Did you buy your device with opensource Firmware?,What Firmware do you use?,What release model?,Are you having problems with that?,Do you plan to switch to a different release type?,"Desktop, Window manager, Terminal?",Why do you use a Window Manager?,Why do you use a smaller Desktop?,Why do you use GNOME?,Did you switch from KDE?,Why do you use KDE?,Did you switch from GNOME?,Why did you switch from KDE?,Why did you switch from GNOME?,Tiling or Floating?,Do you use virtual Desktops?,Do you use Wayland or X11,Can you switch to Wayland?,Have you considered switching to a Wayland alternative?,Will you switch to Wayland in the next year?,How do you get your apps?,"Do you use an ""immutable"" Distribution?","Why don't you use an ""immutable"" distribution?",Do you use proprietary software?,Why do you use Flatpaks?,What problems with Flatpaks do you face?,Why dont you use Flatpak?,Do you use non-Flatpak proprietary Software?,Do you want more proprietary software as Flatpaks?,How did you like this survey?,Anything to add?
2024-06-14T16:50:53.923Z,Gast,"know the major terminal tools,3+ years Linux user,used a few different distros",male,,,USA+Canada,31-40,average,"yes, ADHD,yes, other","Windows annoyed me,because it is free (as in money),because of privacy reasons,I was bored (with the other OS)","web browsing,online media comsumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),storing videos, pictures, ...,3D modelling","not yet,help people I know","yes, Linux Servers","yes, Android",the OS works better,daily driving,"Free as in freedom (no restriction of use),Privacy,low hardware requirements,modularity of software components",yes,no,,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,other,not a Distro but a variant / respin,"Ease of use / better presets,optimized for gaming",,Desktop PC,no,"yes, no issues",no,,,"Semi rolling: versions, updates in between (Fedora)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"traditional UI,it is the default on my distro",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak",no,happy on my current one,"yes, I use whatever works","preinstalled on my Distro,nice store, easy to find,officially maintained (verified)","sandboxing breaks some apps,issues with desktop integration,theming",,yes,yes,cool!,
2024-06-14T16:52:05.191Z,Gast,"Beginner,3+ years Linux user,used a few different distros,giving tech support to people",male,,,South America,27-30,slightly above average,undiagnosed,"Friends or Family showed me,Windows annoyed me,because it is free (as in money)","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),storing videos, pictures, ...,playing around with the OS",not yet,"yes, multiple Linux Desktops","yes, Android,yes, Windows","Company policy etc (I need to use this OS),Gaming",daily driving,"Free: no money costs,Free as in freedom (no restriction of use),Security against bad software / viruses,low hardware requirements",dont know,no,,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,other,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro)","Desktop PC,Laptop",dont know,,no idea,,,"Semi rolling: versions, updates in between (Fedora)",no,not sure if something else is better,"GNOME (default on Ubuntu, Fedora, ...)",,,"main desktop of the distro,I like it",yes,,,"prefer the GNOME design,switched distros",,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",What?,Wayland,,,,"native packages (deb, rpm) (main repo),native packages without a repo (manually downloaded .deb files etc),Flatpak,Appimage,.tar archives, .run commands, binaries from the internet","yes, Android",,"yes, I use whatever works",they work well,,,yes,yes,cool!,
2024-06-14T16:52:53.737Z,Gast,used many different distros,male,,,USA+Canada,31-40,above average,probably no,"Friends or Family showed me,I like to tweak my system,I was bored (with the other OS)","web browsing,mail, messaging,gaming: windows games (Steam, WINE, Proton),learning,playing around with the OS",not yet,"yes, multiple Linux Desktops","yes, Android",other,just for testing,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,customizability, fun",yes,"yes, both","privacy reasons,general security",OpenSUSE,Gentoo,,,,,,,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),uninstalling preinstalled native packages","Desktop PC,Laptop,Phone",yes,,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,performance,app integration",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage",no,"happy on my current one,it restricts my freedom,other","yes, I use whatever works","security through sandboxing,they work well,officially maintained (verified)",other,,I dont know,yes,cool!,
2024-06-14T16:53:33.463Z,Gast,"3+ years Linux user,used a few different distros,distrohopped a lot (over 5 times)",male,,,Europe,41-50,,no,"Found it online,Windows annoyed me,because it is free (as in money),I like to tweak my system,it is better for my tasks","web browsing,online media comsumption,offline media consumption,mail, messaging,software development",not yet,no,"yes, Windows",Gaming,other,"Free as in freedom (no restriction of use),Privacy,customizability, fun",yes,no,,"Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,,,no,Ease of use / better presets,,Laptop,no,only minor issues,no idea,,,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,no,"Smaller Desktop (Cinnamon (Linux Mint), XFCE, LXQt/LXDE, Mate, COSMIC, ...)",,"it is the default on my distro (like Linux Mint),other",,,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,"dont know, too lazy to check",,,,"native packages (deb, rpm) (main repo),Flatpak,Appimage,.tar archives, .run commands, binaries from the internet",no,happy on my current one,"yes, I use whatever works","nice store, easy to find,they work well",theming,,no,no,cool!,
2024-06-14T16:53:53.054Z,Gast,"3+ years Linux user,distrohopped a lot (over 5 times),giving tech support to people",male,,,USA+Canada,16-20,average,"yes, ADHD","it was my first OS,Found it online,because of privacy reasons,I like to tweak my system,it has better software,it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development,playing around with the OS,being anonymous online","forum support,help make it more popular,help people I know","yes, both","no, just Linux",,daily driving,"Free as in freedom (no restriction of use),Privacy,Security against bad software / viruses,customizability, fun",yes,no,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,something else,,no,,"media support (codecs),uninstalling preinstalled native packages,theming,security optimization,privacy optimizations,other quality of life changes","Desktop PC,Laptop",no,"yes, no issues",no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,"yes, but there is no alternative I like",Window manager / Compositor,"efficient workflow,I like to tweak my desktop,lightweight,functionality,no bloat,Unixporn,I have no hobbies",,,,,,,,Autotiling,Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage,.tar archives, .run commands, binaries from the internet",no,"happy on my current one,I tried it and it was not for me",no,"nice store, easy to find,security through sandboxing,they work well","sandboxing breaks some apps,issues with desktop integration,theming",,,,cool!,
2024-06-14T16:54:34.936Z,Gast,Beginner,male,,,Europe,21-26,below average,"yes, ADHD","Found it online,Windows annoyed me,because of privacy reasons,I like to tweak my system,it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,gaming: linux games,gaming: windows games (Steam, WINE, Proton),audio production,learning,storing videos, pictures, ...,playing around with the OS,storing important information,3D modelling","I donate to projects,help people I know","yes, multiple Linux Desktops","yes, Android",other,daily driving,"Free as in freedom (no restriction of use),Privacy,customizability, fun,modularity of software components",yes,"yes, both",general security,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,"It was unstable,I dont like GNOME",no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),theming,security optimization,privacy optimizations,other quality of life changes","Desktop PC,other",no,only minor issues,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"traditional UI,customization,better legacy app support (tray icons, X11 keystrokes, XWayland, ...)",yes,,"didnt like the interface trends,they removed features I needed,I like KDE better","Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,X11,"no, I have missing features",,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,.tar archives, .run commands, binaries from the internet","yes, SteamOS",,"yes, I need it",they work well,missing modularity in hardening,,no,yes,cool!,Not really
2024-06-14T16:54:38.467Z,Gast,"3+ years Linux user,programmer (not systems related, like Web or Apps),programmer (systems related, Linux utilities, libraries),used many different distros,giving tech support to people,some other job with Linux",male,,,USA+Canada,51-60,above average,undiagnosed,"Windows annoyed me,because of privacy reasons,I like to tweak my system","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),audio production,video production,software development,learning,playing around with the OS,other digital art","forum support,help people I know","yes, both","yes, Android,yes, macOS,yes, Windows,yes, ChromeOS","Gaming,Video creation,Audio creation,other content creation,development,other recreational / hobby software,other non-recreational / work software",daily driving,"Privacy,Security against physical attackers,customizability, fun",yes,no,,"Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, Tails, EndlessOS, ElementaryOS, ...)",Slackware,,,,,,,no,,"uninstalling preinstalled native packages,adding additional repositories,theming,privacy optimizations,other quality of life changes","Desktop PC,Laptop,Tablet,Phone",yes,,yes,yes,Coreboot with custom components,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,yes,Window manager / Compositor,"efficient workflow,I like to tweak my desktop,lightweight,functionality,no bloat",,,,,,,,"Tiling, manual",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,Snap,Appimage,.tar archives, .run commands, binaries from the internet",no,"happy on my current one,I dont need the stability,I am an expert in Linux","yes, I use whatever works","security through sandboxing,officially maintained (verified)",sandboxing breaks some apps,,yes,no,cool!,
2024-06-14T16:55:02.242Z,Gast,"3+ years Linux user,used a few different distros",male,,,South America,41-50,below average,"yes, ADHD","Found it online,Windows annoyed me,I like to tweak my system","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,science, research, writing papers,video production,software development,storing videos, pictures, ...,other digital art","I donate to projects,help with translations",no,"yes, Android,yes, Windows","Video creation,other content creation",just for testing,"Free as in freedom (no restriction of use),Privacy,customizability, fun",no,"yes, with a password",privacy reasons,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,packages were too old,,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),uninstalling preinstalled native packages","Desktop PC,Laptop,Tablet,Phone",no,"no, many issues",no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",yes,"yes, but there is no alternative I like","GNOME (default on Ubuntu, Fedora, ...)",,,"best supported,I like it,good app integration,beginner friendly,performance",yes,,,"too many features,prefer the GNOME workflow,prefer the GNOME design",,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...)","yes, Android",,"yes, I use whatever works",,,"I prefer distro packages,they are like Snaps",,,technical issues with the questions,
2024-06-14T16:56:51.335Z,Gast,"3+ years Linux user,used a few different distros,giving tech support to people",male,,,Europe,21-26,slightly above average,no,"Windows annoyed me,because of privacy reasons","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton)",not yet,"yes, multiple Linux Desktops","yes, Android",School/Work/Uni requirement,daily driving,"Free as in freedom (no restriction of use),Privacy,low hardware requirements,modularity of software components",yes,no,,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)",,,other,,,,no,,"media support (codecs),uninstalling preinstalled native packages,adding additional repositories,other quality of life changes","Desktop PC,Laptop,Tablet,Phone",no,"yes, no issues",no,,,"Semi rolling: versions, updates in between (Fedora)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"traditional UI,customization,needed features (like gaming)",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage",no,happy on my current one,"yes, I need it","nice store, easy to find,security through sandboxing,officially maintained (verified)","sandboxing breaks some apps,missing modularity in hardening,other",,yes,yes,cool!,
2024-06-14T16:57:26.225Z,Gast,"3+ years Linux user,programmer (systems related, Linux utilities, libraries),distrohopped a lot (over 5 times),some other job with Linux",rather not say,its okay,,Europe,27-30,rather not say,"yes, other","because of privacy reasons,I like to tweak my system,it is more secure",software development,help make it more popular,"yes, both","yes, Android",other,mainly for testing,"Security against physical attackers,Security against bad software / viruses,low hardware requirements,modularity of software components",yes,"yes, with a password","privacy reasons,general security","Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,"privacy concerns,I dont like GNOME",no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),security optimization,privacy optimizations","Desktop PC,Laptop,Phone",no,"yes, no issues",no,,,"Semi rolling: versions, updates in between (Fedora)",no,"yes, but there is no alternative I like","KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,app integration,poweruser features",yes,,"I like KDE better,prefer the UI","Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak","yes, Android",,no,"nice store, easy to find,they work well,officially maintained (verified)",,,,,cool!,
2024-06-14T16:58:56.510Z,Gast,"3+ years Linux user,used a few different distros",male,,,USA+Canada,41-50,slightly above average,probably no,"because of privacy reasons,job requirement,it is better for my tasks","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: windows games (Steam, WINE, Proton),learning,storing videos, pictures, ...,playing around with the OS",I donate to projects,"yes, Linux Servers","yes, Android,yes, macOS,yes, BSD","Company policy etc (I need to use this OS),other recreational / hobby software",daily driving,"Free: no money costs,Privacy,Security against bad software / viruses,customizability, fun",yes,no,,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)",,,,,"packages were too old,something else",,,,,Desktop PC,no,"yes, no issues",no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"traditional UI,needed features (like gaming),beginner friendly",no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,X11,"yes, but not all Software works",,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage",no,happy on my current one,"yes, I use whatever works",officially maintained (verified),"sandboxing breaks some apps,theming",,no,yes,cool!,
2024-06-14T17:04:49.477Z,Gast,"3+ years Linux user,programmer (not systems related, like Web or Apps),used a few different distros,giving tech support to people",female,its okay,,Europe,16-20,above average,"yes, Autism,yes, ADHD","it was my first OS,Windows annoyed me,I like to tweak my system,it has better software","web browsing,gaming: linux games,software development",not yet,no,"yes, Android",other,,"customizability, fun,efficient workflows,low hardware requirements",dont know,no,,"Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, Tails, EndlessOS, ElementaryOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,,no,,theming,Laptop,no,"yes, no issues",no,,,"Stable: versioned, backported security patches, no feature upgrades in between (Debian, RHEL, OpenSUSE Leap)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,customization,yes,,I like KDE better,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),Flatpak,Snap,Appimage,.tar archives, .run commands, binaries from the internet",no,,no,"nice store, easy to find,security through sandboxing,they work well","sandboxing breaks some apps,theming",,,,cool!,
2024-06-14T17:05:12.808Z,Gast,"know the major terminal tools,3+ years Linux user,programmer (not systems related, like Web or Apps),programmer (systems related, Linux utilities, libraries),used a few different distros,admin: unpaid (local group, school, ...),some other job with Linux",male,,,Europe,51-60,above average,no,"Windows annoyed me,macOS annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,job requirement,my hardware is not powerful enough for others","web browsing,mail, messaging,standard office tasks,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,software development,learning,3D modelling","not yet,no time,I donate to projects","yes, multiple Linux Desktops","yes, Android,yes, Windows","School/Work/Uni requirement,development",daily driving,"Free: no money costs,Free as in freedom (no restriction of use),Security against bad software / viruses,customizability, fun",yes,no,,"Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, Tails, EndlessOS, ElementaryOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,,yes,Ease of use / better presets,,Laptop,no,"yes, no issues",no,,,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,no,"Smaller Desktop (Cinnamon (Linux Mint), XFCE, LXQt/LXDE, Mate, COSMIC, ...)",,it is lightweight,,,,,,,dont know,Yes,Wayland,,,,"native packages (deb, rpm) (main repo)",no,,"yes, I need it",,,"I prefer distro packages,they confuse me,they bloat the system",,,too long,
2024-06-14T17:12:44.336Z,Gast,"Beginner,know the major terminal tools,programmer (not systems related, like Web or Apps)",male,,,USA+Canada,31-40,slightly above average,"yes, ADHD",I was bored (with the other OS),"web browsing,online media comsumption,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development,storing videos, pictures, ...",not yet,"yes, both","yes, Android",the OS works better,other,"customizability, fun,modularity of software components",yes,no,,"Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)","Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)",,,,Software support,,,no,,"additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),other quality of life changes","Desktop PC,Phone",no,"yes, no issues",no,,,"Stable: versioned, backported security patches, no feature upgrades in between (Debian, RHEL, OpenSUSE Leap)",dont know,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,it is the default on my distro,no,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,X11,"yes, but not all Software works",,,"native packages (deb, rpm) (main repo),native packages without a repo (manually downloaded .deb files etc),Appimage",no,,"yes, I use whatever works",,,I dont know them,,,cool!,
2024-06-14T17:13:22.820Z,Gast,"Beginner,know the major terminal tools,used a few different distros",male,,,South America,27-30,below average,undiagnosed,"Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system","web browsing,online media comsumption,offline media consumption,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development,learning,being anonymous online","help with translations,forum support,help people I know","yes, both","yes, Android",other,daily driving,"Free: no money costs,Free as in freedom (no restriction of use),customizability, fun",yes,no,,"Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,"Snaps are bad,privacy concerns",no,,"additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),uninstalling preinstalled native packages,adding additional repositories,theming,privacy optimizations,other quality of life changes",Desktop PC,no,only minor issues,no idea,,,"Semi rolling: versions, updates in between (Fedora)",no,not sure if something else is better,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,needed features (like gaming),yes,,performance,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",No,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Flatpak,Appimage",no,happy on my current one,"yes, I use whatever works","nice store, easy to find,they work well,officially maintained (verified)","missing software,sandboxing breaks some apps,theming",,yes,yes,cool!,
2024-06-14T17:14:04.335Z,Gast,"3+ years Linux user,programmer (not systems related, like Web or Apps),used many different distros,distrohopped a lot (over 5 times),giving tech support to people,admin: paid,some other job with Linux",male,,,USA+Canada,41-50,slightly above average,rather not say,"Friends or Family showed me,Windows annoyed me,because of privacy reasons,I like to tweak my system,I was bored (with the other OS),it is better for my tasks,it has better software","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),software development,learning,playing around with the OS,3D modelling,other digital art",I donate to projects,"yes, both","yes, Android,yes, Windows",Company policy etc (I need to use this OS),other,"Free as in freedom (no restriction of use),Privacy,Security against physical attackers,customizability, fun",dont know,"yes, with a password","privacy reasons,general security","Debian (MX Linux, Tails, EndlessOS, CloneZilla, ...)","Fedora (Atomic Desktops, Nobara, Ultramarine, uBlue Bazzite/Bluefin/Aurora, CentOS Stream, RockyLinux, Almalinux, RHEL)",,,,other,,,yes,,,"Laptop,other",yes,,yes,yes,Coreboot with custom components,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,no,"GNOME (default on Ubuntu, Fedora, ...)",,,I like it,no,,,,,Autotiling,Yes,X11,other,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),native packages without a repo (manually downloaded .deb files etc),Flatpak,Appimage",no,happy on my current one,"yes, I use whatever works",,storage space,,yes,no,technical issues with the questions,"The ""Can you switch to Wayland?"" question needs an ""I haven't bothered to find out"" option."
2024-06-14T17:14:48.104Z,Gast,"know the major terminal tools,3+ years Linux user,used a few different distros,giving tech support to people",male,,,Europe,21-26,rather not say,probably no,"Found it online,Windows annoyed me,I like to tweak my system","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),learning,storing videos, pictures, ...,playing around with the OS,being anonymous online,storing important information","I donate to projects,help with translations,help people I know","yes, both","yes, Android,yes, Windows",other,daily driving,"Free as in freedom (no restriction of use),Privacy,customizability, fun",yes,"yes, with a password","privacy reasons,general security","Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,other,no,,"media support (codecs),adding additional repositories,security optimization,other quality of life changes","Desktop PC,Laptop,Phone",yes,,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",no,no,"GNOME (default on Ubuntu, Fedora, ...)",,,I like it,no,,,,,"Floating (KDE, GNOME, Cinnamon, Windows, MacOS, ...)",Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...),Appimage","yes, Android",,"yes, I need it",,,I prefer distro packages,,,"cool!,too short","I have a system with X and one with Wayland, but I can't select both in this survey."
2024-06-14T17:19:34.921Z,Gast,"3+ years Linux user,programmer (systems related, Linux utilities, libraries),used many different distros,distrohopped a lot (over 5 times),giving tech support to people",agender,yes,More tools and documentation for the technologically inept,USA+Canada,16-20,slightly above average,no,"Found it online,Windows annoyed me,because it is free (as in money),because of privacy reasons,I like to tweak my system,I was bored (with the other OS),it is more secure","web browsing,online media comsumption,offline media consumption,mail, messaging,standard office tasks,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,software development,learning,storing videos, pictures, ...,playing around with the OS,storing important information",not yet,"yes, multiple Linux Desktops","yes, Android",,daily driving,"Free: no money costs,Free as in freedom (no restriction of use),customizability, fun,low hardware requirements",yes,no,,NixOS,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)",,,other,,,,no,,"media support (codecs),additional drivers (NVIDIA, AMD ROCM, amdgpu-pro),theming,other quality of life changes","Desktop PC,Laptop",no,"yes, no issues",no,,,"Versioned: versions, only security updates in between (SteamOS, Ubuntu)",no,no,Window manager / Compositor,"efficient workflow,I like to tweak my desktop,lightweight,no bloat",,,,,,,,Autotiling,Yes,Wayland,,,,nix,"yes, NixOS",,no,,,I prefer distro packages,,,cool!,
2024-06-14T17:19:38.087Z,Gast,"3+ years Linux user,used a few different distros,giving tech support to people,admin: paid",male,,,Europe,27-30,average,probably no,"Friends or Family showed me,Windows annoyed me,because of privacy reasons","web browsing,online media comsumption,gaming: linux games,gaming: windows games (Steam, WINE, Proton),science, research, writing papers,learning,3D modelling","no time,forum support","yes, both","yes, Android,yes, Windows","School/Work/Uni requirement,Company policy etc (I need to use this OS),3D Modelling, CAD",daily driving,"Free: no money costs,Free as in freedom (no restriction of use),Privacy,Security against bad software / viruses",yes,"yes, with a password",general security,"Arch (SteamOS, Manjaro, Artix, EndeavorOS, Garuda, BlendOS, ...)","Ubuntu (Linux Mint, VanillaOS, Pop!_OS, TuxedoOS, KDE Neon, Kali, ElementaryOS, ...)",,,,,,"It was unstable,other",no,,"adding additional repositories,theming,security optimization,other quality of life changes",Desktop PC,no,only minor issues,no,,,"Rolling release: no versions, very new (Arch, Tumbleweed)",yes,no,"KDE (Default on Kubuntu, KDE Neon, Manjaro, ...)",,,,,"customization,app integration,poweruser features",no,,,Autotiling,Yes,Wayland,,,,"native packages (deb, rpm) (main repo),native packages, community repo (Arch AUR, Ubuntu PPAs, Fedora COPR, ...)","yes, Android",,"yes, I need it",,,"I prefer distro packages,they bloat the system",,,cool!,
